SRR1442966 SRR1442966_1.fastq.gz SRR1442966_2.fastq.gz
SRR1444242 SRR1444242_1.fastq.gz SRR1444242_2.fastq.gz
SRR1445170 SRR1445170_1.fastq.gz SRR1445170_2.fastq.gz
SRR1448203 SRR1448203_1.fastq.gz SRR1448203_2.fastq.gz
SRR1452957 SRR1452957_1.fastq.gz SRR1452957_2.fastq.gz
SRR1454225 SRR1454225_1.fastq.gz SRR1454225_2.fastq.gz
SRR1455346 SRR1455346_1.fastq.gz SRR1455346_2.fastq.gz
SRR1456469 SRR1456469_1.fastq.gz SRR1456469_2.fastq.gz
SRR1460095 SRR1460095_1.fastq.gz SRR1460095_2.fastq.gz
SRR1465782 SRR1465782_1.fastq.gz SRR1465782_2.fastq.gz
SRR1470834 SRR1470834_1.fastq.gz SRR1470834_2.fastq.gz
SRR1472171 SRR1472171_1.fastq.gz SRR1472171_2.fastq.gz
SRR1473611 SRR1473611_1.fastq.gz SRR1473611_2.fastq.gz
SRR1475147 SRR1475147_1.fastq.gz SRR1475147_2.fastq.gz
SRR1480287 SRR1480287_1.fastq.gz SRR1480287_2.fastq.gz
SRR1485587 SRR1485587_1.fastq.gz SRR1485587_2.fastq.gz
SRR1486117 SRR1486117_1.fastq.gz SRR1486117_2.fastq.gz
SRR1489670 SRR1489670_1.fastq.gz SRR1489670_2.fastq.gz
SRR1489839 SRR1489839_1.fastq.gz SRR1489839_2.fastq.gz
SRR1499460 SRR1499460_1.fastq.gz SRR1499460_2.fastq.gz
SRR2135399 SRR2135399_1.fastq.gz SRR2135399_2.fastq.gz
SRR2135415 SRR2135415_1.fastq.gz SRR2135415_2.fastq.gz
