SRR1336569 SRR1336569_1.fastq.gz SRR1336569_2.fastq.gz
SRR1337173 SRR1337173_1.fastq.gz SRR1337173_2.fastq.gz
SRR1338560 SRR1338560_1.fastq.gz SRR1338560_2.fastq.gz
SRR1339108 SRR1339108_1.fastq.gz SRR1339108_2.fastq.gz
SRR1342739 SRR1342739_1.fastq.gz SRR1342739_2.fastq.gz
SRR1342782 SRR1342782_1.fastq.gz SRR1342782_2.fastq.gz
SRR1344382 SRR1344382_1.fastq.gz SRR1344382_2.fastq.gz
SRR1344422 SRR1344422_1.fastq.gz SRR1344422_2.fastq.gz
SRR1345284 SRR1345284_1.fastq.gz SRR1345284_2.fastq.gz
SRR1345760 SRR1345760_1.fastq.gz SRR1345760_2.fastq.gz
SRR1345894 SRR1345894_1.fastq.gz SRR1345894_2.fastq.gz
SRR1347214 SRR1347214_1.fastq.gz SRR1347214_2.fastq.gz
SRR1347937 SRR1347937_1.fastq.gz SRR1347937_2.fastq.gz
SRR1348040 SRR1348040_1.fastq.gz SRR1348040_2.fastq.gz
SRR1349209 SRR1349209_1.fastq.gz SRR1349209_2.fastq.gz
SRR1349231 SRR1349231_1.fastq.gz SRR1349231_2.fastq.gz
SRR1349851 SRR1349851_1.fastq.gz SRR1349851_2.fastq.gz
SRR1350435 SRR1350435_1.fastq.gz SRR1350435_2.fastq.gz
SRR1350832 SRR1350832_1.fastq.gz SRR1350832_2.fastq.gz
SRR1351280 SRR1351280_1.fastq.gz SRR1351280_2.fastq.gz
SRR1351480 SRR1351480_1.fastq.gz SRR1351480_2.fastq.gz
SRR1351979 SRR1351979_1.fastq.gz SRR1351979_2.fastq.gz
SRR1353517 SRR1353517_1.fastq.gz SRR1353517_2.fastq.gz
SRR1353555 SRR1353555_1.fastq.gz SRR1353555_2.fastq.gz
SRR1353663 SRR1353663_1.fastq.gz SRR1353663_2.fastq.gz
SRR1353900 SRR1353900_1.fastq.gz SRR1353900_2.fastq.gz
SRR1353924 SRR1353924_1.fastq.gz SRR1353924_2.fastq.gz
SRR1354270 SRR1354270_1.fastq.gz SRR1354270_2.fastq.gz
SRR1354489 SRR1354489_1.fastq.gz SRR1354489_2.fastq.gz
SRR1354644 SRR1354644_1.fastq.gz SRR1354644_2.fastq.gz
SRR1354955 SRR1354955_1.fastq.gz SRR1354955_2.fastq.gz
SRR1355217 SRR1355217_1.fastq.gz SRR1355217_2.fastq.gz
SRR1355352 SRR1355352_1.fastq.gz SRR1355352_2.fastq.gz
SRR1355396 SRR1355396_1.fastq.gz SRR1355396_2.fastq.gz
SRR1356290 SRR1356290_1.fastq.gz SRR1356290_2.fastq.gz
SRR1356705 SRR1356705_1.fastq.gz SRR1356705_2.fastq.gz
SRR1357148 SRR1357148_1.fastq.gz SRR1357148_2.fastq.gz
SRR1358220 SRR1358220_1.fastq.gz SRR1358220_2.fastq.gz
SRR1359780 SRR1359780_1.fastq.gz SRR1359780_2.fastq.gz
SRR1360402 SRR1360402_1.fastq.gz SRR1360402_2.fastq.gz
SRR1361480 SRR1361480_1.fastq.gz SRR1361480_2.fastq.gz
SRR1361546 SRR1361546_1.fastq.gz SRR1361546_2.fastq.gz
SRR1363908 SRR1363908_1.fastq.gz SRR1363908_2.fastq.gz
SRR1365034 SRR1365034_1.fastq.gz SRR1365034_2.fastq.gz
SRR1365426 SRR1365426_1.fastq.gz SRR1365426_2.fastq.gz
SRR1365448 SRR1365448_1.fastq.gz SRR1365448_2.fastq.gz
SRR1367109 SRR1367109_1.fastq.gz SRR1367109_2.fastq.gz
SRR1367715 SRR1367715_1.fastq.gz SRR1367715_2.fastq.gz
SRR1367988 SRR1367988_1.fastq.gz SRR1367988_2.fastq.gz
SRR1368072 SRR1368072_1.fastq.gz SRR1368072_2.fastq.gz
SRR1368117 SRR1368117_1.fastq.gz SRR1368117_2.fastq.gz
SRR1368264 SRR1368264_1.fastq.gz SRR1368264_2.fastq.gz
SRR1368574 SRR1368574_1.fastq.gz SRR1368574_2.fastq.gz
SRR1370572 SRR1370572_1.fastq.gz SRR1370572_2.fastq.gz
SRR1370780 SRR1370780_1.fastq.gz SRR1370780_2.fastq.gz
SRR1375439 SRR1375439_1.fastq.gz SRR1375439_2.fastq.gz
SRR1375509 SRR1375509_1.fastq.gz SRR1375509_2.fastq.gz
SRR1375774 SRR1375774_1.fastq.gz SRR1375774_2.fastq.gz
SRR1375796 SRR1375796_1.fastq.gz SRR1375796_2.fastq.gz
SRR1376249 SRR1376249_1.fastq.gz SRR1376249_2.fastq.gz
SRR1376764 SRR1376764_1.fastq.gz SRR1376764_2.fastq.gz
SRR1377006 SRR1377006_1.fastq.gz SRR1377006_2.fastq.gz
SRR1377800 SRR1377800_1.fastq.gz SRR1377800_2.fastq.gz
SRR1377862 SRR1377862_1.fastq.gz SRR1377862_2.fastq.gz
SRR1379110 SRR1379110_1.fastq.gz SRR1379110_2.fastq.gz
SRR1380716 SRR1380716_1.fastq.gz SRR1380716_2.fastq.gz
SRR1381348 SRR1381348_1.fastq.gz SRR1381348_2.fastq.gz
SRR1381775 SRR1381775_1.fastq.gz SRR1381775_2.fastq.gz
SRR1383081 SRR1383081_1.fastq.gz SRR1383081_2.fastq.gz
SRR1383259 SRR1383259_1.fastq.gz SRR1383259_2.fastq.gz
SRR1384138 SRR1384138_1.fastq.gz SRR1384138_2.fastq.gz
SRR1384371 SRR1384371_1.fastq.gz SRR1384371_2.fastq.gz
SRR1385101 SRR1385101_1.fastq.gz SRR1385101_2.fastq.gz
SRR1385277 SRR1385277_1.fastq.gz SRR1385277_2.fastq.gz
SRR1385411 SRR1385411_1.fastq.gz SRR1385411_2.fastq.gz
SRR1386991 SRR1386991_1.fastq.gz SRR1386991_2.fastq.gz
SRR1387054 SRR1387054_1.fastq.gz SRR1387054_2.fastq.gz
SRR1387222 SRR1387222_1.fastq.gz SRR1387222_2.fastq.gz
SRR1387240 SRR1387240_1.fastq.gz SRR1387240_2.fastq.gz
SRR1387966 SRR1387966_1.fastq.gz SRR1387966_2.fastq.gz
SRR1388528 SRR1388528_1.fastq.gz SRR1388528_2.fastq.gz
SRR1388809 SRR1388809_1.fastq.gz SRR1388809_2.fastq.gz
SRR1388832 SRR1388832_1.fastq.gz SRR1388832_2.fastq.gz
SRR1388873 SRR1388873_1.fastq.gz SRR1388873_2.fastq.gz
SRR1389177 SRR1389177_1.fastq.gz SRR1389177_2.fastq.gz
SRR1389497 SRR1389497_1.fastq.gz SRR1389497_2.fastq.gz
SRR1390027 SRR1390027_1.fastq.gz SRR1390027_2.fastq.gz
SRR1390437 SRR1390437_1.fastq.gz SRR1390437_2.fastq.gz
SRR1391420 SRR1391420_1.fastq.gz SRR1391420_2.fastq.gz
SRR1392186 SRR1392186_1.fastq.gz SRR1392186_2.fastq.gz
SRR1392901 SRR1392901_1.fastq.gz SRR1392901_2.fastq.gz
SRR1393449 SRR1393449_1.fastq.gz SRR1393449_2.fastq.gz
SRR1394190 SRR1394190_1.fastq.gz SRR1394190_2.fastq.gz
SRR1394231 SRR1394231_1.fastq.gz SRR1394231_2.fastq.gz
SRR1394637 SRR1394637_1.fastq.gz SRR1394637_2.fastq.gz
SRR1395742 SRR1395742_1.fastq.gz SRR1395742_2.fastq.gz
SRR1396250 SRR1396250_1.fastq.gz SRR1396250_2.fastq.gz
SRR1396786 SRR1396786_1.fastq.gz SRR1396786_2.fastq.gz
SRR1397156 SRR1397156_1.fastq.gz SRR1397156_2.fastq.gz
SRR1397218 SRR1397218_1.fastq.gz SRR1397218_2.fastq.gz
SRR1398335 SRR1398335_1.fastq.gz SRR1398335_2.fastq.gz
SRR1400180 SRR1400180_1.fastq.gz SRR1400180_2.fastq.gz
SRR1400551 SRR1400551_1.fastq.gz SRR1400551_2.fastq.gz
SRR1400823 SRR1400823_1.fastq.gz SRR1400823_2.fastq.gz
SRR1401379 SRR1401379_1.fastq.gz SRR1401379_2.fastq.gz
SRR1401752 SRR1401752_1.fastq.gz SRR1401752_2.fastq.gz
SRR1401839 SRR1401839_1.fastq.gz SRR1401839_2.fastq.gz
SRR1402153 SRR1402153_1.fastq.gz SRR1402153_2.fastq.gz
SRR1402172 SRR1402172_1.fastq.gz SRR1402172_2.fastq.gz
SRR1402328 SRR1402328_1.fastq.gz SRR1402328_2.fastq.gz
SRR1402794 SRR1402794_1.fastq.gz SRR1402794_2.fastq.gz
SRR1403133 SRR1403133_1.fastq.gz SRR1403133_2.fastq.gz
SRR1403280 SRR1403280_1.fastq.gz SRR1403280_2.fastq.gz
SRR1403366 SRR1403366_1.fastq.gz SRR1403366_2.fastq.gz
SRR1404837 SRR1404837_1.fastq.gz SRR1404837_2.fastq.gz
SRR1405123 SRR1405123_1.fastq.gz SRR1405123_2.fastq.gz
SRR1405984 SRR1405984_1.fastq.gz SRR1405984_2.fastq.gz
SRR1406008 SRR1406008_1.fastq.gz SRR1406008_2.fastq.gz
SRR1406112 SRR1406112_1.fastq.gz SRR1406112_2.fastq.gz
SRR1406418 SRR1406418_1.fastq.gz SRR1406418_2.fastq.gz
SRR1407950 SRR1407950_1.fastq.gz SRR1407950_2.fastq.gz
SRR1408161 SRR1408161_1.fastq.gz SRR1408161_2.fastq.gz
SRR1408183 SRR1408183_1.fastq.gz SRR1408183_2.fastq.gz
SRR1408249 SRR1408249_1.fastq.gz SRR1408249_2.fastq.gz
SRR1408529 SRR1408529_1.fastq.gz SRR1408529_2.fastq.gz
SRR1408595 SRR1408595_1.fastq.gz SRR1408595_2.fastq.gz
SRR1408682 SRR1408682_1.fastq.gz SRR1408682_2.fastq.gz
SRR1409130 SRR1409130_1.fastq.gz SRR1409130_2.fastq.gz
SRR1409263 SRR1409263_1.fastq.gz SRR1409263_2.fastq.gz
SRR1409575 SRR1409575_1.fastq.gz SRR1409575_2.fastq.gz
SRR1410221 SRR1410221_1.fastq.gz SRR1410221_2.fastq.gz
SRR1413872 SRR1413872_1.fastq.gz SRR1413872_2.fastq.gz
SRR1414314 SRR1414314_1.fastq.gz SRR1414314_2.fastq.gz
SRR1414727 SRR1414727_1.fastq.gz SRR1414727_2.fastq.gz
SRR1415773 SRR1415773_1.fastq.gz SRR1415773_2.fastq.gz
SRR1416672 SRR1416672_1.fastq.gz SRR1416672_2.fastq.gz
SRR1417483 SRR1417483_1.fastq.gz SRR1417483_2.fastq.gz
SRR1418022 SRR1418022_1.fastq.gz SRR1418022_2.fastq.gz
SRR1418561 SRR1418561_1.fastq.gz SRR1418561_2.fastq.gz
SRR1418880 SRR1418880_1.fastq.gz SRR1418880_2.fastq.gz
SRR1419110 SRR1419110_1.fastq.gz SRR1419110_2.fastq.gz
SRR1419258 SRR1419258_1.fastq.gz SRR1419258_2.fastq.gz
SRR1429265 SRR1429265_1.fastq.gz SRR1429265_2.fastq.gz
SRR1430375 SRR1430375_1.fastq.gz SRR1430375_2.fastq.gz
SRR1430489 SRR1430489_1.fastq.gz SRR1430489_2.fastq.gz
SRR1430525 SRR1430525_1.fastq.gz SRR1430525_2.fastq.gz
SRR1430729 SRR1430729_1.fastq.gz SRR1430729_2.fastq.gz
SRR1431083 SRR1431083_1.fastq.gz SRR1431083_2.fastq.gz
SRR1431288 SRR1431288_1.fastq.gz SRR1431288_2.fastq.gz
SRR1431569 SRR1431569_1.fastq.gz SRR1431569_2.fastq.gz
SRR1431927 SRR1431927_1.fastq.gz SRR1431927_2.fastq.gz
SRR1432390 SRR1432390_1.fastq.gz SRR1432390_2.fastq.gz
SRR1432453 SRR1432453_1.fastq.gz SRR1432453_2.fastq.gz
SRR1432743 SRR1432743_1.fastq.gz SRR1432743_2.fastq.gz
