gtex_d	gtex_d_R1	gtex_d_R2
SRR1100893	SRR1100893_1.fastq.gz	SRR1100893_2.fastq.gz
SRR1100917	SRR1100917_1.fastq.gz	SRR1100917_2.fastq.gz
SRR1100941	SRR1100941_1.fastq.gz	SRR1100941_2.fastq.gz
SRR1100965	SRR1100965_1.fastq.gz	SRR1100965_2.fastq.gz
SRR1100991	SRR1100991_1.fastq.gz	SRR1100991_2.fastq.gz
SRR1101015	SRR1101015_1.fastq.gz	SRR1101015_2.fastq.gz
SRR1101037	SRR1101037_1.fastq.gz	SRR1101037_2.fastq.gz
SRR1101061	SRR1101061_1.fastq.gz	SRR1101061_2.fastq.gz
SRR1101085	SRR1101085_1.fastq.gz	SRR1101085_2.fastq.gz
SRR1101106	SRR1101106_1.fastq.gz	SRR1101106_2.fastq.gz
SRR1101128	SRR1101128_1.fastq.gz	SRR1101128_2.fastq.gz
SRR1101152	SRR1101152_1.fastq.gz	SRR1101152_2.fastq.gz
SRR1101175	SRR1101175_1.fastq.gz	SRR1101175_2.fastq.gz
SRR1101200	SRR1101200_1.fastq.gz	SRR1101200_2.fastq.gz
SRR1101226	SRR1101226_1.fastq.gz	SRR1101226_2.fastq.gz
SRR1101256	SRR1101256_1.fastq.gz	SRR1101256_2.fastq.gz
SRR1101280	SRR1101280_1.fastq.gz	SRR1101280_2.fastq.gz
SRR1101304	SRR1101304_1.fastq.gz	SRR1101304_2.fastq.gz
SRR1101324	SRR1101324_1.fastq.gz	SRR1101324_2.fastq.gz
SRR1101348	SRR1101348_1.fastq.gz	SRR1101348_2.fastq.gz
SRR1101373	SRR1101373_1.fastq.gz	SRR1101373_2.fastq.gz
SRR1101397	SRR1101397_1.fastq.gz	SRR1101397_2.fastq.gz
SRR1101421	SRR1101421_1.fastq.gz	SRR1101421_2.fastq.gz
SRR1101453	SRR1101453_1.fastq.gz	SRR1101453_2.fastq.gz
SRR1101483	SRR1101483_1.fastq.gz	SRR1101483_2.fastq.gz
SRR1101513	SRR1101513_1.fastq.gz	SRR1101513_2.fastq.gz
SRR1101542	SRR1101542_1.fastq.gz	SRR1101542_2.fastq.gz
SRR1101566	SRR1101566_1.fastq.gz	SRR1101566_2.fastq.gz
SRR1101591	SRR1101591_1.fastq.gz	SRR1101591_2.fastq.gz
SRR1101612	SRR1101612_1.fastq.gz	SRR1101612_2.fastq.gz
SRR1101643	SRR1101643_1.fastq.gz	SRR1101643_2.fastq.gz
SRR1101669	SRR1101669_1.fastq.gz	SRR1101669_2.fastq.gz
SRR1101693	SRR1101693_1.fastq.gz	SRR1101693_2.fastq.gz
SRR1101717	SRR1101717_1.fastq.gz	SRR1101717_2.fastq.gz
SRR1101741	SRR1101741_1.fastq.gz	SRR1101741_2.fastq.gz
SRR1101765	SRR1101765_1.fastq.gz	SRR1101765_2.fastq.gz
SRR1101787	SRR1101787_1.fastq.gz	SRR1101787_2.fastq.gz
SRR1101808	SRR1101808_1.fastq.gz	SRR1101808_2.fastq.gz
SRR1101834	SRR1101834_1.fastq.gz	SRR1101834_2.fastq.gz
SRR1101859	SRR1101859_1.fastq.gz	SRR1101859_2.fastq.gz
SRR1101883	SRR1101883_1.fastq.gz	SRR1101883_2.fastq.gz
SRR1101907	SRR1101907_1.fastq.gz	SRR1101907_2.fastq.gz
SRR1101931	SRR1101931_1.fastq.gz	SRR1101931_2.fastq.gz
SRR1101957	SRR1101957_1.fastq.gz	SRR1101957_2.fastq.gz
SRR1101981	SRR1101981_1.fastq.gz	SRR1101981_2.fastq.gz
SRR1102005	SRR1102005_1.fastq.gz	SRR1102005_2.fastq.gz
SRR1102031	SRR1102031_1.fastq.gz	SRR1102031_2.fastq.gz
SRR1102055	SRR1102055_1.fastq.gz	SRR1102055_2.fastq.gz
SRR1102079	SRR1102079_1.fastq.gz	SRR1102079_2.fastq.gz
SRR1102103	SRR1102103_1.fastq.gz	SRR1102103_2.fastq.gz
SRR1102128	SRR1102128_1.fastq.gz	SRR1102128_2.fastq.gz
SRR1102152	SRR1102152_1.fastq.gz	SRR1102152_2.fastq.gz
SRR1102176	SRR1102176_1.fastq.gz	SRR1102176_2.fastq.gz
SRR1102198	SRR1102198_1.fastq.gz	SRR1102198_2.fastq.gz
SRR1102224	SRR1102224_1.fastq.gz	SRR1102224_2.fastq.gz
SRR1102248	SRR1102248_1.fastq.gz	SRR1102248_2.fastq.gz
SRR1102272	SRR1102272_1.fastq.gz	SRR1102272_2.fastq.gz
SRR1102296	SRR1102296_1.fastq.gz	SRR1102296_2.fastq.gz
SRR1102320	SRR1102320_1.fastq.gz	SRR1102320_2.fastq.gz
SRR1102344	SRR1102344_1.fastq.gz	SRR1102344_2.fastq.gz
SRR1102369	SRR1102369_1.fastq.gz	SRR1102369_2.fastq.gz
SRR1102393	SRR1102393_1.fastq.gz	SRR1102393_2.fastq.gz
SRR1102418	SRR1102418_1.fastq.gz	SRR1102418_2.fastq.gz
SRR1102443	SRR1102443_1.fastq.gz	SRR1102443_2.fastq.gz
SRR1102467	SRR1102467_1.fastq.gz	SRR1102467_2.fastq.gz
SRR1102489	SRR1102489_1.fastq.gz	SRR1102489_2.fastq.gz
SRR1102515	SRR1102515_1.fastq.gz	SRR1102515_2.fastq.gz
SRR1102538	SRR1102538_1.fastq.gz	SRR1102538_2.fastq.gz
SRR1102562	SRR1102562_1.fastq.gz	SRR1102562_2.fastq.gz
SRR1102583	SRR1102583_1.fastq.gz	SRR1102583_2.fastq.gz
SRR1102606	SRR1102606_1.fastq.gz	SRR1102606_2.fastq.gz
SRR1102631	SRR1102631_1.fastq.gz	SRR1102631_2.fastq.gz
SRR1102656	SRR1102656_1.fastq.gz	SRR1102656_2.fastq.gz
SRR1102680	SRR1102680_1.fastq.gz	SRR1102680_2.fastq.gz
SRR1102705	SRR1102705_1.fastq.gz	SRR1102705_2.fastq.gz
SRR1102729	SRR1102729_1.fastq.gz	SRR1102729_2.fastq.gz
SRR1102756	SRR1102756_1.fastq.gz	SRR1102756_2.fastq.gz
SRR1102780	SRR1102780_1.fastq.gz	SRR1102780_2.fastq.gz
SRR1102804	SRR1102804_1.fastq.gz	SRR1102804_2.fastq.gz
SRR1102830	SRR1102830_1.fastq.gz	SRR1102830_2.fastq.gz
SRR1102852	SRR1102852_1.fastq.gz	SRR1102852_2.fastq.gz
SRR1102875	SRR1102875_1.fastq.gz	SRR1102875_2.fastq.gz
SRR1102899	SRR1102899_1.fastq.gz	SRR1102899_2.fastq.gz
SRR1102923	SRR1102923_1.fastq.gz	SRR1102923_2.fastq.gz
SRR1102949	SRR1102949_1.fastq.gz	SRR1102949_2.fastq.gz
SRR1102973	SRR1102973_1.fastq.gz	SRR1102973_2.fastq.gz
SRR1102998	SRR1102998_1.fastq.gz	SRR1102998_2.fastq.gz
SRR1103024	SRR1103024_1.fastq.gz	SRR1103024_2.fastq.gz
SRR1103048	SRR1103048_1.fastq.gz	SRR1103048_2.fastq.gz
SRR1103072	SRR1103072_1.fastq.gz	SRR1103072_2.fastq.gz
SRR1103092	SRR1103092_1.fastq.gz	SRR1103092_2.fastq.gz
SRR1103118	SRR1103118_1.fastq.gz	SRR1103118_2.fastq.gz
SRR1103143	SRR1103143_1.fastq.gz	SRR1103143_2.fastq.gz
SRR1104987	SRR1104987_1.fastq.gz	SRR1104987_2.fastq.gz
SRR1105009	SRR1105009_1.fastq.gz	SRR1105009_2.fastq.gz
SRR1105033	SRR1105033_1.fastq.gz	SRR1105033_2.fastq.gz
SRR1105057	SRR1105057_1.fastq.gz	SRR1105057_2.fastq.gz
SRR1105081	SRR1105081_1.fastq.gz	SRR1105081_2.fastq.gz
SRR1105106	SRR1105106_1.fastq.gz	SRR1105106_2.fastq.gz
SRR1105130	SRR1105130_1.fastq.gz	SRR1105130_2.fastq.gz
SRR1105154	SRR1105154_1.fastq.gz	SRR1105154_2.fastq.gz
SRR1105174	SRR1105174_1.fastq.gz	SRR1105174_2.fastq.gz
SRR1105198	SRR1105198_1.fastq.gz	SRR1105198_2.fastq.gz
SRR1105224	SRR1105224_1.fastq.gz	SRR1105224_2.fastq.gz
SRR1105248	SRR1105248_1.fastq.gz	SRR1105248_2.fastq.gz
SRR1105272	SRR1105272_1.fastq.gz	SRR1105272_2.fastq.gz
SRR1105296	SRR1105296_1.fastq.gz	SRR1105296_2.fastq.gz
SRR1105320	SRR1105320_1.fastq.gz	SRR1105320_2.fastq.gz
SRR1105344	SRR1105344_1.fastq.gz	SRR1105344_2.fastq.gz
SRR1105369	SRR1105369_1.fastq.gz	SRR1105369_2.fastq.gz
SRR1105391	SRR1105391_1.fastq.gz	SRR1105391_2.fastq.gz
SRR1105441	SRR1105441_1.fastq.gz	SRR1105441_2.fastq.gz
SRR1105463	SRR1105463_1.fastq.gz	SRR1105463_2.fastq.gz
SRR1105489	SRR1105489_1.fastq.gz	SRR1105489_2.fastq.gz
SRR1105513	SRR1105513_1.fastq.gz	SRR1105513_2.fastq.gz
SRR1105536	SRR1105536_1.fastq.gz	SRR1105536_2.fastq.gz
SRR1120276	SRR1120276_1.fastq.gz	SRR1120276_2.fastq.gz
SRR1120296	SRR1120296_1.fastq.gz	SRR1120296_2.fastq.gz
SRR1120318	SRR1120318_1.fastq.gz	SRR1120318_2.fastq.gz
SRR1120340	SRR1120340_1.fastq.gz	SRR1120340_2.fastq.gz
SRR1120363	SRR1120363_1.fastq.gz	SRR1120363_2.fastq.gz
SRR1120384	SRR1120384_1.fastq.gz	SRR1120384_2.fastq.gz
SRR1120711	SRR1120711_1.fastq.gz	SRR1120711_2.fastq.gz
SRR1120733	SRR1120733_1.fastq.gz	SRR1120733_2.fastq.gz
SRR1120755	SRR1120755_1.fastq.gz	SRR1120755_2.fastq.gz
SRR1120781	SRR1120781_1.fastq.gz	SRR1120781_2.fastq.gz
SRR1120803	SRR1120803_1.fastq.gz	SRR1120803_2.fastq.gz
SRR1120825	SRR1120825_1.fastq.gz	SRR1120825_2.fastq.gz
SRR1120847	SRR1120847_1.fastq.gz	SRR1120847_2.fastq.gz
SRR1120869	SRR1120869_1.fastq.gz	SRR1120869_2.fastq.gz
SRR1120891	SRR1120891_1.fastq.gz	SRR1120891_2.fastq.gz
SRR1120913	SRR1120913_1.fastq.gz	SRR1120913_2.fastq.gz
SRR1120939	SRR1120939_1.fastq.gz	SRR1120939_2.fastq.gz
SRR1120961	SRR1120961_1.fastq.gz	SRR1120961_2.fastq.gz
SRR1120987	SRR1120987_1.fastq.gz	SRR1120987_2.fastq.gz
SRR1121009	SRR1121009_1.fastq.gz	SRR1121009_2.fastq.gz
SRR1121031	SRR1121031_1.fastq.gz	SRR1121031_2.fastq.gz
SRR1122885	SRR1122885_1.fastq.gz	SRR1122885_2.fastq.gz
SRR1122913	SRR1122913_1.fastq.gz	SRR1122913_2.fastq.gz
SRR1122940	SRR1122940_1.fastq.gz	SRR1122940_2.fastq.gz
SRR1123775	SRR1123775_1.fastq.gz	SRR1123775_2.fastq.gz
SRR1140510	SRR1140510_1.fastq.gz	SRR1140510_2.fastq.gz
SRR1304927	SRR1304927_1.fastq.gz	SRR1304927_2.fastq.gz
SRR1304947	SRR1304947_1.fastq.gz	SRR1304947_2.fastq.gz
SRR1304967	SRR1304967_1.fastq.gz	SRR1304967_2.fastq.gz
SRR1304987	SRR1304987_1.fastq.gz	SRR1304987_2.fastq.gz
SRR1305009	SRR1305009_1.fastq.gz	SRR1305009_2.fastq.gz
SRR1305029	SRR1305029_1.fastq.gz	SRR1305029_2.fastq.gz
SRR1305051	SRR1305051_1.fastq.gz	SRR1305051_2.fastq.gz
SRR1305083	SRR1305083_1.fastq.gz	SRR1305083_2.fastq.gz
SRR1305105	SRR1305105_1.fastq.gz	SRR1305105_2.fastq.gz
SRR1305127	SRR1305127_1.fastq.gz	SRR1305127_2.fastq.gz
SRR1305159	SRR1305159_1.fastq.gz	SRR1305159_2.fastq.gz
SRR1305191	SRR1305191_1.fastq.gz	SRR1305191_2.fastq.gz
SRR1305223	SRR1305223_1.fastq.gz	SRR1305223_2.fastq.gz
SRR1305255	SRR1305255_1.fastq.gz	SRR1305255_2.fastq.gz
SRR1305287	SRR1305287_1.fastq.gz	SRR1305287_2.fastq.gz
SRR1305319	SRR1305319_1.fastq.gz	SRR1305319_2.fastq.gz
SRR1305351	SRR1305351_1.fastq.gz	SRR1305351_2.fastq.gz
SRR1305373	SRR1305373_1.fastq.gz	SRR1305373_2.fastq.gz
SRR1305405	SRR1305405_1.fastq.gz	SRR1305405_2.fastq.gz
SRR1305425	SRR1305425_1.fastq.gz	SRR1305425_2.fastq.gz
SRR1305457	SRR1305457_1.fastq.gz	SRR1305457_2.fastq.gz
SRR1305479	SRR1305479_1.fastq.gz	SRR1305479_2.fastq.gz
SRR1305511	SRR1305511_1.fastq.gz	SRR1305511_2.fastq.gz
SRR1305533	SRR1305533_1.fastq.gz	SRR1305533_2.fastq.gz
SRR1305565	SRR1305565_1.fastq.gz	SRR1305565_2.fastq.gz
SRR1305587	SRR1305587_1.fastq.gz	SRR1305587_2.fastq.gz
SRR1305607	SRR1305607_1.fastq.gz	SRR1305607_2.fastq.gz
SRR1305629	SRR1305629_1.fastq.gz	SRR1305629_2.fastq.gz
SRR1305651	SRR1305651_1.fastq.gz	SRR1305651_2.fastq.gz
SRR1305673	SRR1305673_1.fastq.gz	SRR1305673_2.fastq.gz
SRR1305693	SRR1305693_1.fastq.gz	SRR1305693_2.fastq.gz
SRR1305713	SRR1305713_1.fastq.gz	SRR1305713_2.fastq.gz
SRR1305745	SRR1305745_1.fastq.gz	SRR1305745_2.fastq.gz
SRR1305765	SRR1305765_1.fastq.gz	SRR1305765_2.fastq.gz
SRR1305787	SRR1305787_1.fastq.gz	SRR1305787_2.fastq.gz
SRR1305809	SRR1305809_1.fastq.gz	SRR1305809_2.fastq.gz
SRR1305831	SRR1305831_1.fastq.gz	SRR1305831_2.fastq.gz
SRR1305853	SRR1305853_1.fastq.gz	SRR1305853_2.fastq.gz
SRR1305875	SRR1305875_1.fastq.gz	SRR1305875_2.fastq.gz
SRR1305907	SRR1305907_1.fastq.gz	SRR1305907_2.fastq.gz
SRR1305939	SRR1305939_1.fastq.gz	SRR1305939_2.fastq.gz
SRR1305971	SRR1305971_1.fastq.gz	SRR1305971_2.fastq.gz
SRR1305991	SRR1305991_1.fastq.gz	SRR1305991_2.fastq.gz
SRR1306013	SRR1306013_1.fastq.gz	SRR1306013_2.fastq.gz
SRR1306035	SRR1306035_1.fastq.gz	SRR1306035_2.fastq.gz
SRR1306057	SRR1306057_1.fastq.gz	SRR1306057_2.fastq.gz
SRR1306077	SRR1306077_1.fastq.gz	SRR1306077_2.fastq.gz
SRR1306109	SRR1306109_1.fastq.gz	SRR1306109_2.fastq.gz
SRR1306141	SRR1306141_1.fastq.gz	SRR1306141_2.fastq.gz
SRR1306163	SRR1306163_1.fastq.gz	SRR1306163_2.fastq.gz
SRR1306195	SRR1306195_1.fastq.gz	SRR1306195_2.fastq.gz
SRR1306227	SRR1306227_1.fastq.gz	SRR1306227_2.fastq.gz
SRR1306259	SRR1306259_1.fastq.gz	SRR1306259_2.fastq.gz
SRR1306293	SRR1306293_1.fastq.gz	SRR1306293_2.fastq.gz
SRR1306327	SRR1306327_1.fastq.gz	SRR1306327_2.fastq.gz
SRR1306359	SRR1306359_1.fastq.gz	SRR1306359_2.fastq.gz
SRR1306391	SRR1306391_1.fastq.gz	SRR1306391_2.fastq.gz
SRR1306423	SRR1306423_1.fastq.gz	SRR1306423_2.fastq.gz
SRR1306455	SRR1306455_1.fastq.gz	SRR1306455_2.fastq.gz
SRR1306487	SRR1306487_1.fastq.gz	SRR1306487_2.fastq.gz
SRR1306519	SRR1306519_1.fastq.gz	SRR1306519_2.fastq.gz
SRR1306551	SRR1306551_1.fastq.gz	SRR1306551_2.fastq.gz
SRR1306583	SRR1306583_1.fastq.gz	SRR1306583_2.fastq.gz
SRR1306617	SRR1306617_1.fastq.gz	SRR1306617_2.fastq.gz
SRR1306649	SRR1306649_1.fastq.gz	SRR1306649_2.fastq.gz
SRR1306683	SRR1306683_1.fastq.gz	SRR1306683_2.fastq.gz
SRR1306703	SRR1306703_1.fastq.gz	SRR1306703_2.fastq.gz
SRR1306737	SRR1306737_1.fastq.gz	SRR1306737_2.fastq.gz
SRR1306769	SRR1306769_1.fastq.gz	SRR1306769_2.fastq.gz
SRR1306816	SRR1306816_1.fastq.gz	SRR1306816_2.fastq.gz
SRR1306848	SRR1306848_1.fastq.gz	SRR1306848_2.fastq.gz
SRR1306895	SRR1306895_1.fastq.gz	SRR1306895_2.fastq.gz
SRR1306927	SRR1306927_1.fastq.gz	SRR1306927_2.fastq.gz
SRR1306974	SRR1306974_1.fastq.gz	SRR1306974_2.fastq.gz
SRR1307006	SRR1307006_1.fastq.gz	SRR1307006_2.fastq.gz
SRR1307041	SRR1307041_1.fastq.gz	SRR1307041_2.fastq.gz
SRR1307076	SRR1307076_1.fastq.gz	SRR1307076_2.fastq.gz
SRR1307123	SRR1307123_1.fastq.gz	SRR1307123_2.fastq.gz
SRR1307159	SRR1307159_1.fastq.gz	SRR1307159_2.fastq.gz
SRR1307191	SRR1307191_1.fastq.gz	SRR1307191_2.fastq.gz
SRR1307223	SRR1307223_1.fastq.gz	SRR1307223_2.fastq.gz
SRR1307255	SRR1307255_1.fastq.gz	SRR1307255_2.fastq.gz
SRR1307290	SRR1307290_1.fastq.gz	SRR1307290_2.fastq.gz
SRR1307325	SRR1307325_1.fastq.gz	SRR1307325_2.fastq.gz
SRR1307360	SRR1307360_1.fastq.gz	SRR1307360_2.fastq.gz
SRR1307407	SRR1307407_1.fastq.gz	SRR1307407_2.fastq.gz
SRR1307454	SRR1307454_1.fastq.gz	SRR1307454_2.fastq.gz
SRR1307486	SRR1307486_1.fastq.gz	SRR1307486_2.fastq.gz
SRR1307521	SRR1307521_1.fastq.gz	SRR1307521_2.fastq.gz
SRR1307551	SRR1307551_1.fastq.gz	SRR1307551_2.fastq.gz
SRR1307583	SRR1307583_1.fastq.gz	SRR1307583_2.fastq.gz
SRR1307615	SRR1307615_1.fastq.gz	SRR1307615_2.fastq.gz
SRR1307645	SRR1307645_1.fastq.gz	SRR1307645_2.fastq.gz
SRR1307661	SRR1307661_1.fastq.gz	SRR1307661_2.fastq.gz
SRR1307677	SRR1307677_1.fastq.gz	SRR1307677_2.fastq.gz
SRR1307699	SRR1307699_1.fastq.gz	SRR1307699_2.fastq.gz
SRR1307722	SRR1307722_1.fastq.gz	SRR1307722_2.fastq.gz
SRR1307738	SRR1307738_1.fastq.gz	SRR1307738_2.fastq.gz
SRR1307754	SRR1307754_1.fastq.gz	SRR1307754_2.fastq.gz
SRR1307770	SRR1307770_1.fastq.gz	SRR1307770_2.fastq.gz
SRR1307792	SRR1307792_1.fastq.gz	SRR1307792_2.fastq.gz
SRR1307808	SRR1307808_1.fastq.gz	SRR1307808_2.fastq.gz
SRR1307827	SRR1307827_1.fastq.gz	SRR1307827_2.fastq.gz
SRR1307843	SRR1307843_1.fastq.gz	SRR1307843_2.fastq.gz
SRR1307859	SRR1307859_1.fastq.gz	SRR1307859_2.fastq.gz
SRR1307889	SRR1307889_1.fastq.gz	SRR1307889_2.fastq.gz
SRR1307919	SRR1307919_1.fastq.gz	SRR1307919_2.fastq.gz
SRR1307935	SRR1307935_1.fastq.gz	SRR1307935_2.fastq.gz
SRR1307965	SRR1307965_1.fastq.gz	SRR1307965_2.fastq.gz
SRR1307981	SRR1307981_1.fastq.gz	SRR1307981_2.fastq.gz
SRR1307997	SRR1307997_1.fastq.gz	SRR1307997_2.fastq.gz
SRR1308019	SRR1308019_1.fastq.gz	SRR1308019_2.fastq.gz
SRR1308035	SRR1308035_1.fastq.gz	SRR1308035_2.fastq.gz
SRR1308054	SRR1308054_1.fastq.gz	SRR1308054_2.fastq.gz
SRR1308070	SRR1308070_1.fastq.gz	SRR1308070_2.fastq.gz
SRR1308086	SRR1308086_1.fastq.gz	SRR1308086_2.fastq.gz
SRR1308105	SRR1308105_1.fastq.gz	SRR1308105_2.fastq.gz
SRR1308121	SRR1308121_1.fastq.gz	SRR1308121_2.fastq.gz
SRR1308137	SRR1308137_1.fastq.gz	SRR1308137_2.fastq.gz
SRR1308153	SRR1308153_1.fastq.gz	SRR1308153_2.fastq.gz
SRR1308200	SRR1308200_1.fastq.gz	SRR1308200_2.fastq.gz
SRR1308223	SRR1308223_1.fastq.gz	SRR1308223_2.fastq.gz
SRR1308239	SRR1308239_1.fastq.gz	SRR1308239_2.fastq.gz
SRR1308269	SRR1308269_1.fastq.gz	SRR1308269_2.fastq.gz
SRR1308288	SRR1308288_1.fastq.gz	SRR1308288_2.fastq.gz
SRR1308310	SRR1308310_1.fastq.gz	SRR1308310_2.fastq.gz
SRR1308357	SRR1308357_1.fastq.gz	SRR1308357_2.fastq.gz
SRR1308379	SRR1308379_1.fastq.gz	SRR1308379_2.fastq.gz
SRR1308426	SRR1308426_1.fastq.gz	SRR1308426_2.fastq.gz
SRR1308442	SRR1308442_1.fastq.gz	SRR1308442_2.fastq.gz
SRR1308458	SRR1308458_1.fastq.gz	SRR1308458_2.fastq.gz
SRR1308474	SRR1308474_1.fastq.gz	SRR1308474_2.fastq.gz
SRR1308504	SRR1308504_1.fastq.gz	SRR1308504_2.fastq.gz
SRR1308526	SRR1308526_1.fastq.gz	SRR1308526_2.fastq.gz
SRR1308574	SRR1308574_1.fastq.gz	SRR1308574_2.fastq.gz
SRR1308590	SRR1308590_1.fastq.gz	SRR1308590_2.fastq.gz
SRR1308612	SRR1308612_1.fastq.gz	SRR1308612_2.fastq.gz
SRR1308634	SRR1308634_1.fastq.gz	SRR1308634_2.fastq.gz
SRR1308650	SRR1308650_1.fastq.gz	SRR1308650_2.fastq.gz
SRR1308674	SRR1308674_1.fastq.gz	SRR1308674_2.fastq.gz
SRR1308696	SRR1308696_1.fastq.gz	SRR1308696_2.fastq.gz
SRR1308715	SRR1308715_1.fastq.gz	SRR1308715_2.fastq.gz
SRR1308734	SRR1308734_1.fastq.gz	SRR1308734_2.fastq.gz
SRR1308756	SRR1308756_1.fastq.gz	SRR1308756_2.fastq.gz
SRR1308778	SRR1308778_1.fastq.gz	SRR1308778_2.fastq.gz
SRR1308800	SRR1308800_1.fastq.gz	SRR1308800_2.fastq.gz
SRR1308822	SRR1308822_1.fastq.gz	SRR1308822_2.fastq.gz
SRR1308844	SRR1308844_1.fastq.gz	SRR1308844_2.fastq.gz
SRR1308860	SRR1308860_1.fastq.gz	SRR1308860_2.fastq.gz
SRR1308882	SRR1308882_1.fastq.gz	SRR1308882_2.fastq.gz
SRR1308904	SRR1308904_1.fastq.gz	SRR1308904_2.fastq.gz
SRR1308920	SRR1308920_1.fastq.gz	SRR1308920_2.fastq.gz
SRR1308939	SRR1308939_1.fastq.gz	SRR1308939_2.fastq.gz
SRR1308969	SRR1308969_1.fastq.gz	SRR1308969_2.fastq.gz
SRR1309016	SRR1309016_1.fastq.gz	SRR1309016_2.fastq.gz
SRR1309032	SRR1309032_1.fastq.gz	SRR1309032_2.fastq.gz
SRR1309051	SRR1309051_1.fastq.gz	SRR1309051_2.fastq.gz
SRR1309070	SRR1309070_1.fastq.gz	SRR1309070_2.fastq.gz
SRR1309089	SRR1309089_1.fastq.gz	SRR1309089_2.fastq.gz
SRR1309119	SRR1309119_1.fastq.gz	SRR1309119_2.fastq.gz
SRR1309141	SRR1309141_1.fastq.gz	SRR1309141_2.fastq.gz
SRR1309160	SRR1309160_1.fastq.gz	SRR1309160_2.fastq.gz
SRR1309182	SRR1309182_1.fastq.gz	SRR1309182_2.fastq.gz
SRR1309201	SRR1309201_1.fastq.gz	SRR1309201_2.fastq.gz
SRR1309248	SRR1309248_1.fastq.gz	SRR1309248_2.fastq.gz
SRR1309267	SRR1309267_1.fastq.gz	SRR1309267_2.fastq.gz
SRR1309314	SRR1309314_1.fastq.gz	SRR1309314_2.fastq.gz
SRR1309333	SRR1309333_1.fastq.gz	SRR1309333_2.fastq.gz
SRR1309352	SRR1309352_1.fastq.gz	SRR1309352_2.fastq.gz
SRR1309382	SRR1309382_1.fastq.gz	SRR1309382_2.fastq.gz
SRR1309403	SRR1309403_1.fastq.gz	SRR1309403_2.fastq.gz
SRR1309425	SRR1309425_1.fastq.gz	SRR1309425_2.fastq.gz
SRR1309452	SRR1309452_1.fastq.gz	SRR1309452_2.fastq.gz
SRR1309468	SRR1309468_1.fastq.gz	SRR1309468_2.fastq.gz
SRR1309490	SRR1309490_1.fastq.gz	SRR1309490_2.fastq.gz
SRR1309512	SRR1309512_1.fastq.gz	SRR1309512_2.fastq.gz
SRR1309534	SRR1309534_1.fastq.gz	SRR1309534_2.fastq.gz
SRR1309556	SRR1309556_1.fastq.gz	SRR1309556_2.fastq.gz
SRR1309578	SRR1309578_1.fastq.gz	SRR1309578_2.fastq.gz
SRR1309597	SRR1309597_1.fastq.gz	SRR1309597_2.fastq.gz
SRR1309619	SRR1309619_1.fastq.gz	SRR1309619_2.fastq.gz
SRR1309638	SRR1309638_1.fastq.gz	SRR1309638_2.fastq.gz
SRR1309657	SRR1309657_1.fastq.gz	SRR1309657_2.fastq.gz
SRR1309680	SRR1309680_1.fastq.gz	SRR1309680_2.fastq.gz
SRR1309702	SRR1309702_1.fastq.gz	SRR1309702_2.fastq.gz
SRR1309723	SRR1309723_1.fastq.gz	SRR1309723_2.fastq.gz
SRR1309745	SRR1309745_1.fastq.gz	SRR1309745_2.fastq.gz
SRR1309767	SRR1309767_1.fastq.gz	SRR1309767_2.fastq.gz
SRR1309786	SRR1309786_1.fastq.gz	SRR1309786_2.fastq.gz
SRR1309833	SRR1309833_1.fastq.gz	SRR1309833_2.fastq.gz
SRR1309856	SRR1309856_1.fastq.gz	SRR1309856_2.fastq.gz
SRR1309875	SRR1309875_1.fastq.gz	SRR1309875_2.fastq.gz
SRR1309898	SRR1309898_1.fastq.gz	SRR1309898_2.fastq.gz
SRR1309920	SRR1309920_1.fastq.gz	SRR1309920_2.fastq.gz
SRR1309942	SRR1309942_1.fastq.gz	SRR1309942_2.fastq.gz
SRR1309963	SRR1309963_1.fastq.gz	SRR1309963_2.fastq.gz
SRR1309985	SRR1309985_1.fastq.gz	SRR1309985_2.fastq.gz
SRR1310008	SRR1310008_1.fastq.gz	SRR1310008_2.fastq.gz
SRR1310031	SRR1310031_1.fastq.gz	SRR1310031_2.fastq.gz
SRR1310053	SRR1310053_1.fastq.gz	SRR1310053_2.fastq.gz
SRR1310075	SRR1310075_1.fastq.gz	SRR1310075_2.fastq.gz
SRR1310094	SRR1310094_1.fastq.gz	SRR1310094_2.fastq.gz
SRR1310113	SRR1310113_1.fastq.gz	SRR1310113_2.fastq.gz
SRR1310136	SRR1310136_1.fastq.gz	SRR1310136_2.fastq.gz
SRR1310158	SRR1310158_1.fastq.gz	SRR1310158_2.fastq.gz
SRR1310180	SRR1310180_1.fastq.gz	SRR1310180_2.fastq.gz
SRR1310210	SRR1310210_1.fastq.gz	SRR1310210_2.fastq.gz
SRR1310231	SRR1310231_1.fastq.gz	SRR1310231_2.fastq.gz
SRR1310253	SRR1310253_1.fastq.gz	SRR1310253_2.fastq.gz
SRR1310275	SRR1310275_1.fastq.gz	SRR1310275_2.fastq.gz
SRR1310297	SRR1310297_1.fastq.gz	SRR1310297_2.fastq.gz
SRR1310313	SRR1310313_1.fastq.gz	SRR1310313_2.fastq.gz
SRR1310334	SRR1310334_1.fastq.gz	SRR1310334_2.fastq.gz
SRR1310353	SRR1310353_1.fastq.gz	SRR1310353_2.fastq.gz
SRR1310373	SRR1310373_1.fastq.gz	SRR1310373_2.fastq.gz
SRR1310396	SRR1310396_1.fastq.gz	SRR1310396_2.fastq.gz
