SRR1407336 SRR1407336_1.fastq.gz SRR1407336_2.fastq.gz
SRR1409677 SRR1409677_1.fastq.gz SRR1409677_2.fastq.gz
SRR1415510 SRR1415510_1.fastq.gz SRR1415510_2.fastq.gz
SRR1415956 SRR1415956_1.fastq.gz SRR1415956_2.fastq.gz
SRR1417566 SRR1417566_1.fastq.gz SRR1417566_2.fastq.gz
SRR1418145 SRR1418145_1.fastq.gz SRR1418145_2.fastq.gz
SRR1420043 SRR1420043_1.fastq.gz SRR1420043_2.fastq.gz
SRR1429287 SRR1429287_1.fastq.gz SRR1429287_2.fastq.gz
SRR1432500 SRR1432500_1.fastq.gz SRR1432500_2.fastq.gz
SRR1435272 SRR1435272_1.fastq.gz SRR1435272_2.fastq.gz
SRR1436323 SRR1436323_1.fastq.gz SRR1436323_2.fastq.gz
SRR1436740 SRR1436740_1.fastq.gz SRR1436740_2.fastq.gz
SRR1440332 SRR1440332_1.fastq.gz SRR1440332_2.fastq.gz
SRR1441398 SRR1441398_1.fastq.gz SRR1441398_2.fastq.gz
SRR1443483 SRR1443483_1.fastq.gz SRR1443483_2.fastq.gz
SRR1444156 SRR1444156_1.fastq.gz SRR1444156_2.fastq.gz
SRR1447850 SRR1447850_1.fastq.gz SRR1447850_2.fastq.gz
SRR1453549 SRR1453549_1.fastq.gz SRR1453549_2.fastq.gz
SRR1454177 SRR1454177_1.fastq.gz SRR1454177_2.fastq.gz
SRR1456991 SRR1456991_1.fastq.gz SRR1456991_2.fastq.gz
SRR1466006 SRR1466006_1.fastq.gz SRR1466006_2.fastq.gz
SRR1467386 SRR1467386_1.fastq.gz SRR1467386_2.fastq.gz
SRR1467922 SRR1467922_1.fastq.gz SRR1467922_2.fastq.gz
SRR1468893 SRR1468893_1.fastq.gz SRR1468893_2.fastq.gz
SRR1471731 SRR1471731_1.fastq.gz SRR1471731_2.fastq.gz
SRR1472929 SRR1472929_1.fastq.gz SRR1472929_2.fastq.gz
SRR1477057 SRR1477057_1.fastq.gz SRR1477057_2.fastq.gz
SRR1477363 SRR1477363_1.fastq.gz SRR1477363_2.fastq.gz
SRR1480107 SRR1480107_1.fastq.gz SRR1480107_2.fastq.gz
SRR1480587 SRR1480587_1.fastq.gz SRR1480587_2.fastq.gz
SRR1487485 SRR1487485_1.fastq.gz SRR1487485_2.fastq.gz
SRR1488111 SRR1488111_1.fastq.gz SRR1488111_2.fastq.gz
SRR1499503 SRR1499503_1.fastq.gz SRR1499503_2.fastq.gz
SRR1500495 SRR1500495_1.fastq.gz SRR1500495_2.fastq.gz
SRR2135307 SRR2135307_1.fastq.gz SRR2135307_2.fastq.gz
SRR2135309 SRR2135309_1.fastq.gz SRR2135309_2.fastq.gz
SRR2135389 SRR2135389_1.fastq.gz SRR2135389_2.fastq.gz
