SRR1329909 SRR1329909_1.fastq.gz SRR1329909_2.fastq.gz
SRR1330609 SRR1330609_1.fastq.gz SRR1330609_2.fastq.gz
SRR1331858 SRR1331858_1.fastq.gz SRR1331858_2.fastq.gz
SRR1337794 SRR1337794_1.fastq.gz SRR1337794_2.fastq.gz
SRR1337953 SRR1337953_1.fastq.gz SRR1337953_2.fastq.gz
SRR1338705 SRR1338705_1.fastq.gz SRR1338705_2.fastq.gz
SRR1340862 SRR1340862_1.fastq.gz SRR1340862_2.fastq.gz
SRR1341321 SRR1341321_1.fastq.gz SRR1341321_2.fastq.gz
SRR1343175 SRR1343175_1.fastq.gz SRR1343175_2.fastq.gz
SRR1343324 SRR1343324_1.fastq.gz SRR1343324_2.fastq.gz
SRR1343456 SRR1343456_1.fastq.gz SRR1343456_2.fastq.gz
SRR1345178 SRR1345178_1.fastq.gz SRR1345178_2.fastq.gz
SRR1345871 SRR1345871_1.fastq.gz SRR1345871_2.fastq.gz
SRR1346838 SRR1346838_1.fastq.gz SRR1346838_2.fastq.gz
SRR1347082 SRR1347082_1.fastq.gz SRR1347082_2.fastq.gz
SRR1348248 SRR1348248_1.fastq.gz SRR1348248_2.fastq.gz
SRR1350997 SRR1350997_1.fastq.gz SRR1350997_2.fastq.gz
SRR1354532 SRR1354532_1.fastq.gz SRR1354532_2.fastq.gz
SRR1355997 SRR1355997_1.fastq.gz SRR1355997_2.fastq.gz
SRR1356725 SRR1356725_1.fastq.gz SRR1356725_2.fastq.gz
SRR1358367 SRR1358367_1.fastq.gz SRR1358367_2.fastq.gz
SRR1359760 SRR1359760_1.fastq.gz SRR1359760_2.fastq.gz
SRR1359821 SRR1359821_1.fastq.gz SRR1359821_2.fastq.gz
SRR1360545 SRR1360545_1.fastq.gz SRR1360545_2.fastq.gz
SRR1362688 SRR1362688_1.fastq.gz SRR1362688_2.fastq.gz
SRR1364641 SRR1364641_1.fastq.gz SRR1364641_2.fastq.gz
SRR1365679 SRR1365679_1.fastq.gz SRR1365679_2.fastq.gz
SRR1366473 SRR1366473_1.fastq.gz SRR1366473_2.fastq.gz
SRR1368815 SRR1368815_1.fastq.gz SRR1368815_2.fastq.gz
SRR1370363 SRR1370363_1.fastq.gz SRR1370363_2.fastq.gz
SRR1377537 SRR1377537_1.fastq.gz SRR1377537_2.fastq.gz
SRR1379384 SRR1379384_1.fastq.gz SRR1379384_2.fastq.gz
SRR1380591 SRR1380591_1.fastq.gz SRR1380591_2.fastq.gz
SRR1381306 SRR1381306_1.fastq.gz SRR1381306_2.fastq.gz
SRR1383213 SRR1383213_1.fastq.gz SRR1383213_2.fastq.gz
SRR1383984 SRR1383984_1.fastq.gz SRR1383984_2.fastq.gz
SRR1384331 SRR1384331_1.fastq.gz SRR1384331_2.fastq.gz
SRR1387516 SRR1387516_1.fastq.gz SRR1387516_2.fastq.gz
SRR1388190 SRR1388190_1.fastq.gz SRR1388190_2.fastq.gz
SRR1388891 SRR1388891_1.fastq.gz SRR1388891_2.fastq.gz
SRR1389199 SRR1389199_1.fastq.gz SRR1389199_2.fastq.gz
SRR1392615 SRR1392615_1.fastq.gz SRR1392615_2.fastq.gz
SRR1394544 SRR1394544_1.fastq.gz SRR1394544_2.fastq.gz
SRR1396724 SRR1396724_1.fastq.gz SRR1396724_2.fastq.gz
SRR1399156 SRR1399156_1.fastq.gz SRR1399156_2.fastq.gz
SRR1399247 SRR1399247_1.fastq.gz SRR1399247_2.fastq.gz
SRR1400312 SRR1400312_1.fastq.gz SRR1400312_2.fastq.gz
SRR1400869 SRR1400869_1.fastq.gz SRR1400869_2.fastq.gz
SRR1402772 SRR1402772_1.fastq.gz SRR1402772_2.fastq.gz
SRR1403089 SRR1403089_1.fastq.gz SRR1403089_2.fastq.gz
SRR1404062 SRR1404062_1.fastq.gz SRR1404062_2.fastq.gz
SRR1404147 SRR1404147_1.fastq.gz SRR1404147_2.fastq.gz
SRR1405289 SRR1405289_1.fastq.gz SRR1405289_2.fastq.gz
SRR1408091 SRR1408091_1.fastq.gz SRR1408091_2.fastq.gz
SRR1410242 SRR1410242_1.fastq.gz SRR1410242_2.fastq.gz
SRR1412928 SRR1412928_1.fastq.gz SRR1412928_2.fastq.gz
SRR1413100 SRR1413100_1.fastq.gz SRR1413100_2.fastq.gz
SRR1414209 SRR1414209_1.fastq.gz SRR1414209_2.fastq.gz
SRR1415355 SRR1415355_1.fastq.gz SRR1415355_2.fastq.gz
SRR1417749 SRR1417749_1.fastq.gz SRR1417749_2.fastq.gz
SRR1420148 SRR1420148_1.fastq.gz SRR1420148_2.fastq.gz
SRR1430860 SRR1430860_1.fastq.gz SRR1430860_2.fastq.gz
SRR1432587 SRR1432587_1.fastq.gz SRR1432587_2.fastq.gz
SRR1432890 SRR1432890_1.fastq.gz SRR1432890_2.fastq.gz
SRR1433152 SRR1433152_1.fastq.gz SRR1433152_2.fastq.gz
SRR1435090 SRR1435090_1.fastq.gz SRR1435090_2.fastq.gz
SRR1435643 SRR1435643_1.fastq.gz SRR1435643_2.fastq.gz
SRR1436169 SRR1436169_1.fastq.gz SRR1436169_2.fastq.gz
SRR1437186 SRR1437186_1.fastq.gz SRR1437186_2.fastq.gz
SRR1440179 SRR1440179_1.fastq.gz SRR1440179_2.fastq.gz
SRR1441745 SRR1441745_1.fastq.gz SRR1441745_2.fastq.gz
SRR1443755 SRR1443755_1.fastq.gz SRR1443755_2.fastq.gz
SRR1445468 SRR1445468_1.fastq.gz SRR1445468_2.fastq.gz
SRR1446979 SRR1446979_1.fastq.gz SRR1446979_2.fastq.gz
SRR1446996 SRR1446996_1.fastq.gz SRR1446996_2.fastq.gz
SRR1447124 SRR1447124_1.fastq.gz SRR1447124_2.fastq.gz
SRR1447416 SRR1447416_1.fastq.gz SRR1447416_2.fastq.gz
SRR1453591 SRR1453591_1.fastq.gz SRR1453591_2.fastq.gz
SRR1453831 SRR1453831_1.fastq.gz SRR1453831_2.fastq.gz
SRR1455565 SRR1455565_1.fastq.gz SRR1455565_2.fastq.gz
SRR1457437 SRR1457437_1.fastq.gz SRR1457437_2.fastq.gz
SRR1458465 SRR1458465_1.fastq.gz SRR1458465_2.fastq.gz
SRR1458789 SRR1458789_1.fastq.gz SRR1458789_2.fastq.gz
SRR1459761 SRR1459761_1.fastq.gz SRR1459761_2.fastq.gz
SRR1459889 SRR1459889_1.fastq.gz SRR1459889_2.fastq.gz
SRR1465064 SRR1465064_1.fastq.gz SRR1465064_2.fastq.gz
SRR1466490 SRR1466490_1.fastq.gz SRR1466490_2.fastq.gz
SRR1466728 SRR1466728_1.fastq.gz SRR1466728_2.fastq.gz
SRR1467680 SRR1467680_1.fastq.gz SRR1467680_2.fastq.gz
SRR1468028 SRR1468028_1.fastq.gz SRR1468028_2.fastq.gz
SRR1468804 SRR1468804_1.fastq.gz SRR1468804_2.fastq.gz
SRR1470665 SRR1470665_1.fastq.gz SRR1470665_2.fastq.gz
SRR1471690 SRR1471690_1.fastq.gz SRR1471690_2.fastq.gz
SRR1473016 SRR1473016_1.fastq.gz SRR1473016_2.fastq.gz
SRR1473385 SRR1473385_1.fastq.gz SRR1473385_2.fastq.gz
SRR1474396 SRR1474396_1.fastq.gz SRR1474396_2.fastq.gz
SRR1474440 SRR1474440_1.fastq.gz SRR1474440_2.fastq.gz
SRR1475633 SRR1475633_1.fastq.gz SRR1475633_2.fastq.gz
SRR1476255 SRR1476255_1.fastq.gz SRR1476255_2.fastq.gz
SRR1476760 SRR1476760_1.fastq.gz SRR1476760_2.fastq.gz
SRR1477125 SRR1477125_1.fastq.gz SRR1477125_2.fastq.gz
SRR1478855 SRR1478855_1.fastq.gz SRR1478855_2.fastq.gz
SRR1478878 SRR1478878_1.fastq.gz SRR1478878_2.fastq.gz
SRR1479431 SRR1479431_1.fastq.gz SRR1479431_2.fastq.gz
SRR1480153 SRR1480153_1.fastq.gz SRR1480153_2.fastq.gz
SRR1487867 SRR1487867_1.fastq.gz SRR1487867_2.fastq.gz
SRR1498249 SRR1498249_1.fastq.gz SRR1498249_2.fastq.gz
SRR2135295 SRR2135295_1.fastq.gz SRR2135295_2.fastq.gz
SRR2135314 SRR2135314_1.fastq.gz SRR2135314_2.fastq.gz
SRR2135323 SRR2135323_1.fastq.gz SRR2135323_2.fastq.gz
SRR2135373 SRR2135373_1.fastq.gz SRR2135373_2.fastq.gz
SRR2135384 SRR2135384_1.fastq.gz SRR2135384_2.fastq.gz
SRR2135385 SRR2135385_1.fastq.gz SRR2135385_2.fastq.gz
SRR2135412 SRR2135412_1.fastq.gz SRR2135412_2.fastq.gz
SRR808542 SRR808542_1.fastq.gz SRR808542_2.fastq.gz
SRR810689 SRR810689_1.fastq.gz SRR810689_2.fastq.gz
SRR810829 SRR810829_1.fastq.gz SRR810829_2.fastq.gz
SRR811193 SRR811193_1.fastq.gz SRR811193_2.fastq.gz
SRR812152 SRR812152_1.fastq.gz SRR812152_2.fastq.gz
SRR813234 SRR813234_1.fastq.gz SRR813234_2.fastq.gz
SRR814195 SRR814195_1.fastq.gz SRR814195_2.fastq.gz
SRR814268 SRR814268_1.fastq.gz SRR814268_2.fastq.gz
SRR814820 SRR814820_1.fastq.gz SRR814820_2.fastq.gz
SRR815326 SRR815326_1.fastq.gz SRR815326_2.fastq.gz
SRR815970 SRR815970_1.fastq.gz SRR815970_2.fastq.gz
SRR819719 SRR819719_1.fastq.gz SRR819719_2.fastq.gz
