SRR1332607 SRR1332607_1.fastq.gz SRR1332607_2.fastq.gz
SRR1332835 SRR1332835_1.fastq.gz SRR1332835_2.fastq.gz
SRR1333414 SRR1333414_1.fastq.gz SRR1333414_2.fastq.gz
SRR1334154 SRR1334154_1.fastq.gz SRR1334154_2.fastq.gz
SRR1334338 SRR1334338_1.fastq.gz SRR1334338_2.fastq.gz
SRR1334694 SRR1334694_1.fastq.gz SRR1334694_2.fastq.gz
SRR1334919 SRR1334919_1.fastq.gz SRR1334919_2.fastq.gz
SRR1335164 SRR1335164_1.fastq.gz SRR1335164_2.fastq.gz
SRR1335627 SRR1335627_1.fastq.gz SRR1335627_2.fastq.gz
SRR1336134 SRR1336134_1.fastq.gz SRR1336134_2.fastq.gz
SRR1337238 SRR1337238_1.fastq.gz SRR1337238_2.fastq.gz
SRR1337388 SRR1337388_1.fastq.gz SRR1337388_2.fastq.gz
SRR1338171 SRR1338171_1.fastq.gz SRR1338171_2.fastq.gz
SRR1338363 SRR1338363_1.fastq.gz SRR1338363_2.fastq.gz
SRR1339199 SRR1339199_1.fastq.gz SRR1339199_2.fastq.gz
SRR1339321 SRR1339321_1.fastq.gz SRR1339321_2.fastq.gz
SRR1339921 SRR1339921_1.fastq.gz SRR1339921_2.fastq.gz
SRR1340280 SRR1340280_1.fastq.gz SRR1340280_2.fastq.gz
SRR1340441 SRR1340441_1.fastq.gz SRR1340441_2.fastq.gz
SRR1340617 SRR1340617_1.fastq.gz SRR1340617_2.fastq.gz
SRR1340641 SRR1340641_1.fastq.gz SRR1340641_2.fastq.gz
SRR1341408 SRR1341408_1.fastq.gz SRR1341408_2.fastq.gz
SRR1341456 SRR1341456_1.fastq.gz SRR1341456_2.fastq.gz
SRR1341965 SRR1341965_1.fastq.gz SRR1341965_2.fastq.gz
SRR1342701 SRR1342701_1.fastq.gz SRR1342701_2.fastq.gz
SRR1342916 SRR1342916_1.fastq.gz SRR1342916_2.fastq.gz
SRR1343653 SRR1343653_1.fastq.gz SRR1343653_2.fastq.gz
SRR1343795 SRR1343795_1.fastq.gz SRR1343795_2.fastq.gz
SRR1343859 SRR1343859_1.fastq.gz SRR1343859_2.fastq.gz
SRR1344271 SRR1344271_1.fastq.gz SRR1344271_2.fastq.gz
SRR1345221 SRR1345221_1.fastq.gz SRR1345221_2.fastq.gz
SRR1345436 SRR1345436_1.fastq.gz SRR1345436_2.fastq.gz
SRR1345736 SRR1345736_1.fastq.gz SRR1345736_2.fastq.gz
SRR1345827 SRR1345827_1.fastq.gz SRR1345827_2.fastq.gz
SRR1347500 SRR1347500_1.fastq.gz SRR1347500_2.fastq.gz
SRR1347667 SRR1347667_1.fastq.gz SRR1347667_2.fastq.gz
SRR1348226 SRR1348226_1.fastq.gz SRR1348226_2.fastq.gz
SRR1349433 SRR1349433_1.fastq.gz SRR1349433_2.fastq.gz
SRR1349772 SRR1349772_1.fastq.gz SRR1349772_2.fastq.gz
SRR1349893 SRR1349893_1.fastq.gz SRR1349893_2.fastq.gz
SRR1349956 SRR1349956_1.fastq.gz SRR1349956_2.fastq.gz
SRR1351583 SRR1351583_1.fastq.gz SRR1351583_2.fastq.gz
SRR1351931 SRR1351931_1.fastq.gz SRR1351931_2.fastq.gz
SRR1352111 SRR1352111_1.fastq.gz SRR1352111_2.fastq.gz
SRR1352213 SRR1352213_1.fastq.gz SRR1352213_2.fastq.gz
SRR1352234 SRR1352234_1.fastq.gz SRR1352234_2.fastq.gz
SRR1352619 SRR1352619_1.fastq.gz SRR1352619_2.fastq.gz
SRR1352936 SRR1352936_1.fastq.gz SRR1352936_2.fastq.gz
SRR1353970 SRR1353970_1.fastq.gz SRR1353970_2.fastq.gz
SRR1354599 SRR1354599_1.fastq.gz SRR1354599_2.fastq.gz
SRR1354710 SRR1354710_1.fastq.gz SRR1354710_2.fastq.gz
SRR1355194 SRR1355194_1.fastq.gz SRR1355194_2.fastq.gz
SRR1355660 SRR1355660_1.fastq.gz SRR1355660_2.fastq.gz
SRR1356487 SRR1356487_1.fastq.gz SRR1356487_2.fastq.gz
SRR1357558 SRR1357558_1.fastq.gz SRR1357558_2.fastq.gz
SRR1357650 SRR1357650_1.fastq.gz SRR1357650_2.fastq.gz
SRR1358017 SRR1358017_1.fastq.gz SRR1358017_2.fastq.gz
SRR1358482 SRR1358482_1.fastq.gz SRR1358482_2.fastq.gz
SRR1358582 SRR1358582_1.fastq.gz SRR1358582_2.fastq.gz
SRR1358779 SRR1358779_1.fastq.gz SRR1358779_2.fastq.gz
SRR1360442 SRR1360442_1.fastq.gz SRR1360442_2.fastq.gz
