SRR1313932 SRR1313932_1.fastq.gz SRR1313932_2.fastq.gz
SRR1313951 SRR1313951_1.fastq.gz SRR1313951_2.fastq.gz
SRR1314163 SRR1314163_1.fastq.gz SRR1314163_2.fastq.gz
SRR1314187 SRR1314187_1.fastq.gz SRR1314187_2.fastq.gz
SRR1314767 SRR1314767_1.fastq.gz SRR1314767_2.fastq.gz
SRR1314958 SRR1314958_1.fastq.gz SRR1314958_2.fastq.gz
SRR1314998 SRR1314998_1.fastq.gz SRR1314998_2.fastq.gz
SRR1315019 SRR1315019_1.fastq.gz SRR1315019_2.fastq.gz
SRR1315145 SRR1315145_1.fastq.gz SRR1315145_2.fastq.gz
SRR1315269 SRR1315269_1.fastq.gz SRR1315269_2.fastq.gz
SRR1315371 SRR1315371_1.fastq.gz SRR1315371_2.fastq.gz
SRR1315721 SRR1315721_1.fastq.gz SRR1315721_2.fastq.gz
SRR1315761 SRR1315761_1.fastq.gz SRR1315761_2.fastq.gz
SRR1315799 SRR1315799_1.fastq.gz SRR1315799_2.fastq.gz
SRR1315842 SRR1315842_1.fastq.gz SRR1315842_2.fastq.gz
SRR1315866 SRR1315866_1.fastq.gz SRR1315866_2.fastq.gz
SRR1315949 SRR1315949_1.fastq.gz SRR1315949_2.fastq.gz
SRR1315970 SRR1315970_1.fastq.gz SRR1315970_2.fastq.gz
SRR1315994 SRR1315994_1.fastq.gz SRR1315994_2.fastq.gz
SRR1316127 SRR1316127_1.fastq.gz SRR1316127_2.fastq.gz
SRR1316254 SRR1316254_1.fastq.gz SRR1316254_2.fastq.gz
SRR1316297 SRR1316297_1.fastq.gz SRR1316297_2.fastq.gz
SRR1316392 SRR1316392_1.fastq.gz SRR1316392_2.fastq.gz
SRR1316535 SRR1316535_1.fastq.gz SRR1316535_2.fastq.gz
SRR1316624 SRR1316624_1.fastq.gz SRR1316624_2.fastq.gz
SRR1316815 SRR1316815_1.fastq.gz SRR1316815_2.fastq.gz
SRR1316874 SRR1316874_1.fastq.gz SRR1316874_2.fastq.gz
SRR1316921 SRR1316921_1.fastq.gz SRR1316921_2.fastq.gz
SRR1316940 SRR1316940_1.fastq.gz SRR1316940_2.fastq.gz
SRR1316963 SRR1316963_1.fastq.gz SRR1316963_2.fastq.gz
SRR1317323 SRR1317323_1.fastq.gz SRR1317323_2.fastq.gz
SRR1317344 SRR1317344_1.fastq.gz SRR1317344_2.fastq.gz
SRR1317494 SRR1317494_1.fastq.gz SRR1317494_2.fastq.gz
SRR1317596 SRR1317596_1.fastq.gz SRR1317596_2.fastq.gz
SRR1317808 SRR1317808_1.fastq.gz SRR1317808_2.fastq.gz
SRR1317853 SRR1317853_1.fastq.gz SRR1317853_2.fastq.gz
SRR1317877 SRR1317877_1.fastq.gz SRR1317877_2.fastq.gz
SRR1318067 SRR1318067_1.fastq.gz SRR1318067_2.fastq.gz
SRR1318163 SRR1318163_1.fastq.gz SRR1318163_2.fastq.gz
SRR1318372 SRR1318372_1.fastq.gz SRR1318372_2.fastq.gz
SRR1318407 SRR1318407_1.fastq.gz SRR1318407_2.fastq.gz
SRR1318426 SRR1318426_1.fastq.gz SRR1318426_2.fastq.gz
SRR1319019 SRR1319019_1.fastq.gz SRR1319019_2.fastq.gz
SRR1319136 SRR1319136_1.fastq.gz SRR1319136_2.fastq.gz
SRR1319158 SRR1319158_1.fastq.gz SRR1319158_2.fastq.gz
SRR1319539 SRR1319539_1.fastq.gz SRR1319539_2.fastq.gz
